sensor_id,timestamp,movement_type,direction,season,foot_traffic_count,vehicle_count,public_transport_ref,vu_schedule_ref
9,2025-05-19 08:07:52,"Vehicle",,,0,4794,false,false
10,2025-05-19 08:07:52,"Pedestrian",,,3198,0,false,false
9,2025-05-19 08:04:43,"Pedestrian",,,439,0,false,false
8,2025-05-19 08:04:43,"Vehicle",,,0,1587,false,false
5,2025-05-19 08:02:41,"Pedestrian",,,1002,0,false,false
6,2025-05-19 08:01:30,"Pedestrian",,,266,0,false,false
10,2025-05-19 08:00:00,"Cyclist",,,19,0,false,false
3,2025-05-19 08:00:00,"Cyclist",,,40,0,false,false
5,2025-05-19 08:00:00,"Cyclist",,,12,0,false,false
1,2025-05-19 08:00:00,"Cyclist",,,39,0,false,false
11,2025-05-19 08:00:00,"Cyclist",,,136,0,false,false
8,2025-05-19 08:00:00,"Cyclist",,,0,0,false,false
2,2025-05-19 08:00:00,"Cyclist",,,7,0,false,false
4,2025-05-19 08:00:00,"Cyclist",,,10,0,false,false
7,2025-05-19 08:00:00,"Cyclist",,,48,0,false,false
6,2025-05-19 08:00:00,"Cyclist",,,45,0,false,false
13,2025-05-19 08:00:00,"Cyclist",,,7,0,false,false
4,2025-05-19 07:57:57,"Pedestrian",,,2579,0,false,false
4,2025-05-19 07:57:57,"Vehicle",,,0,3488,false,false
3,2025-05-19 07:55:27,"Pedestrian",,,2753,0,false,false
3,2025-05-19 07:55:27,"Vehicle",,,0,3471,false,false
2,2025-05-19 07:52:38,"Vehicle",,,0,2539,false,false
2,2025-05-19 07:52:38,"Pedestrian",,,525,0,false,false
10,2025-05-19 07:50:59,"Vehicle",,,0,1294,false,false
11,2025-05-19 07:50:59,"Pedestrian",,,292,0,false,false
8,2025-05-19 07:48:04,"Pedestrian",,,0,0,false,false
6,2025-05-19 07:48:04,"Vehicle",,,0,0,false,false
1,2025-05-19 07:44:21,"Pedestrian",,,2064,0,false,false
1,2025-05-19 07:44:21,"Vehicle",,,0,4699,false,false
7,2025-05-19 07:41:06,"Pedestrian",,,3700,0,false,false
5,2025-05-19 07:41:06,"Vehicle",,,0,1286,false,false
10,2025-05-19 07:38:17,"Pedestrian",,,2997,0,false,false
9,2025-05-19 07:38:17,"Vehicle",,,0,4689,false,false
8,2025-05-19 07:34:57,"Vehicle",,,0,1566,false,false
9,2025-05-19 07:34:57,"Pedestrian",,,425,0,false,false
